dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
2.59414,tcp,-,FIN,28,30,4656,3080,21.972599,13846.593,9183.775,7,7,96.06715,89.42627,5835.2656,154.0167,255,102067417,3700608280,255,0.000943,0.000774,0.000169,166,103,0,0,1,1,0,0,0,0,Normal,0
0.905766,tcp,-,FIN,16,18,1540,1644,36.43325,12753.846,13716.566,4,4,60.310135,56.58175,4230.6294,126.62326,255,2614821544,3446246113,255,0.000657,0.000455,0.000202,96,91,0,0,14,1,0,0,0,0,Normal,0
0.421833,tcp,http,FIN,10,6,936,268,35.559093,15987.369,4248.1265,2,1,43.76311,77.5756,2227.3816,117.26642,255,2355977000,168556979,255,0.091155,0.033949,0.057206,94,45,1,0,1,1,0,0,1,0,Exploits,1
0.23372,tcp,-,FIN,10,6,534,268,64.17936,16464.145,7667.294,2,1,25.96889,40.812,1300.7194,65.724686,255,3154063438,720362539,255,0.086126,0.028996,0.05713,53,45,0,0,2,1,0,0,0,0,Normal,0
1.863138,tcp,-,FIN,10,8,564,354,9.124391,2181.2664,1331.0876,2,1,202.18466,251.45013,15391.63,390.21902,255,3845807846,963392994,255,0.278507,0.102985,0.175522,56,44,0,0,1,1,0,0,0,0,Reconnaissance,1
4e-06,udp,-,INT,2,0,104,0,250000.0,104000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,0,0,0,0,Fuzzers,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Analysis,1
3e-06,udp,-,INT,2,0,104,0,333333.3,138666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Fuzzers,1
0.004174,tcp,http,FIN,8,10,1052,824,4072.8318,1765213.1,1422137.0,2,2,0.546714,0.406778,35.777023,0.733044,255,1314583561,1315528330,255,0.000635,0.00051,0.000125,132,82,1,83,1,1,0,0,1,0,Normal,0
8e-06,a/n,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Exploits,1
1.072537,tcp,-,FIN,12,8,994,718,17.715008,6802.563,4691.6797,3,2,92.04764,138.622,4679.1216,199.78142,255,52667131,2989829969,255,0.208905,0.102174,0.106731,83,90,0,0,2,1,0,0,0,0,Fuzzers,1
2.178787,tcp,-,FIN,42,42,2662,23162,38.09459,9542.925,83022.34,7,14,53.114975,53.129025,3247.485,90.992874,255,4224871938,4244257145,255,0.000619,0.000493,0.000126,63,551,0,0,1,1,0,0,0,0,Normal,0
1e-05,udp,-,INT,2,0,104,0,100000.0,41600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,3,0,0,0,0,Fuzzers,1
41.066822,tcp,-,FIN,20,12,1670,536,0.754867,309.15466,95.843796,4,1,2161.412,3729.1528,293071.7,11612.165,255,1399874703,1117158503,255,0.112325,0.045494,0.066831,84,45,0,0,4,3,0,0,0,0,Fuzzers,1
0.023745,tcp,-,FIN,16,18,1540,1644,1389.7662,486502.4,523225.94,4,4,1.562,1.369,89.28431,2.613007,255,594588306,2745085795,255,0.000593,0.000469,0.000124,96,91,0,0,4,1,0,0,0,0,Normal,0
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Analysis,1
3.912585,tcp,-,FIN,16,18,1540,1644,8.434322,2952.5237,3175.3943,4,4,260.818,230.11153,16716.152,630.6078,255,1059489899,1228910560,255,0.00082,0.000686,0.000134,96,91,0,0,6,1,0,0,0,0,Normal,0
1e-05,udp,-,INT,2,0,552,0,100000.0,220800000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,276,0,0,0,2,1,0,0,0,0,Normal,0
7.554888,tcp,http,FIN,8,10,1052,824,2.250199,975.2627,785.7165,2,2,1258.9535,839.3654,97062.39,2370.2478,255,2857388530,713105728,255,0.000766,0.000595,0.000171,132,82,1,83,2,1,0,0,1,0,Normal,0
0.023379,tcp,-,FIN,16,18,1540,1644,1411.5232,494118.66,531417.06,4,4,1.537133,1.347765,99.50939,2.576742,255,2611652130,2616343448,255,0.000587,0.000464,0.000123,96,91,0,0,6,1,0,0,0,0,Normal,0
0.45042,tcp,-,FIN,10,6,534,268,33.302254,8543.138,3978.509,2,1,46.62533,79.128,2360.0322,111.90455,255,1513504628,730051322,255,0.109221,0.054771,0.05445,53,45,0,0,2,1,0,0,0,0,Fuzzers,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
9e-06,ddx,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Fuzzers,1
0.019241,tcp,-,FIN,16,18,1540,1644,1715.0876,600384.6,645704.5,4,4,1.262333,1.105588,84.16944,2.064929,255,139617766,146472235,255,0.000559,0.000443,0.000116,96,91,0,0,6,1,0,0,0,0,Normal,0
9e-06,unas,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
17.477179,tcp,-,FIN,78,82,4550,72914,9.097578,2056.1672,32968.707,7,33,226.97188,215.76006,48514.375,47305.344,255,1526965573,3676871719,255,0.000737,0.000603,0.000134,58,889,0,0,1,1,0,0,0,0,Normal,0
1e-05,udp,-,INT,2,0,674,0,100000.0,269600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,337,0,0,0,8,1,0,0,0,0,Normal,0
0.509002,tcp,-,FIN,10,6,542,268,29.469435,7669.911,3520.615,2,1,56.55578,77.775604,2990.3813,136.86415,255,2121954593,397843496,255,0.125169,0.08287,0.042299,54,45,0,0,1,1,0,0,0,0,Fuzzers,1
1.691088,tcp,ftp,FIN,62,20,68109,1026,47.89816,317007.75,4612.4155,28,4,28.1848,84.10437,2798.113,125.48268,255,71649441,1934742209,255,0.122448,0.04349,0.078958,1099,51,0,0,1,1,0,0,0,0,Fuzzers,1
0.709482,tcp,-,FIN,12,8,1058,716,26.780102,10937.557,7069.947,3,2,61.530724,90.613,3178.5728,124.27817,255,245808168,3764215565,255,0.141065,0.075181,0.065884,88,90,0,0,1,1,0,0,0,0,Fuzzers,1
0.575568,tcp,-,FIN,22,10,17786,804,53.859837,235982.53,10063.103,8,2,26.52505,54.471554,1946.5061,88.369286,255,3932728887,907050554,255,0.150806,0.085316,0.06549,808,80,0,0,2,1,0,0,0,0,Fuzzers,1
0.645488,tcp,-,FIN,10,8,534,354,26.336662,5961.381,3842.0542,2,1,69.53978,82.91643,3941.6768,165.22511,255,415662920,2520566766,255,0.113426,0.065065,0.048361,53,44,0,0,1,1,0,0,0,0,Fuzzers,1
1.533596,tcp,-,FIN,16,18,1540,1644,21.518051,7532.6226,8101.2207,4,4,109.519714,90.17841,6590.9805,184.93492,255,3842424337,1847298682,255,0.000678,0.000555,0.000123,96,91,0,0,21,1,0,0,0,0,Normal,0
1.09356,tcp,-,FIN,16,18,1540,1644,30.17667,10563.664,11361.06,4,4,72.82927,65.87,5348.3296,134.00636,255,1204523282,1010054879,255,0.041364,0.039639,0.001725,96,91,0,0,15,1,0,0,0,0,Normal,0
0.419267,tcp,-,FIN,10,8,756,354,40.546955,12994.106,5915.085,2,1,45.659443,52.902287,3183.3196,103.820366,255,3616482710,171455718,255,0.095703,0.048942,0.046761,76,44,0,0,2,1,0,0,0,0,Fuzzers,1
